"""chroma_stft_mean""",rms_mean,spectral_centroid_mean, zero_crossing_rate_mean,harmony_mean,perceptr_mean,tempo,genre
0.37769488,0.06586,570.3499042411772,0.02169698315448569,7.6123837e-07,-0.00010389266,58.72691761363637,blues
0.33690158,0.1579406,1441.6808065190858,0.05086923880993813,-4.538435e-07,-8.201918e-05,172.265625,blues
0.40100908,0.18228516,1945.2525228542231,0.08579060022718484,-4.7653455e-07,-3.737813e-05,135.99917763157896,blues
0.3901175,0.13620916,2279.0311186490417,0.09252533171403712,-0.0021756263,-0.0046636397,135.99917763157896,blues
0.41422728,0.25799304,2333.5524820822284,0.12381951493619489,4.481974e-06,0.0010893844,123.046875,blues
0.4215437,0.27078366,2442.941257538624,0.12468240948859242,1.7716717e-05,-3.537102e-05,78.30255681818181,blues
0.4296856,0.14828186,1739.118783072362,0.048048310010634185,-0.0020876694,-0.004860272,129.19921875,blues
0.39370215,0.19659239,1977.0957174136204,0.10660165313225058,-3.3479034e-06,-4.2046966e-05,99.38401442307692,blues
0.36592886,0.124884635,1245.6864186148603,0.04881868414056458,-1.1555078e-05,-6.856245e-05,123.046875,blues
0.39096886,0.063039556,918.6809999781143,0.03231153023491879,-1.7120014e-05,-0.00014141091,83.35433467741936,blues
0.39618102,0.23508118,2060.8418796735323,0.11336735063805105,-1.3260848e-07,0.00049028295,112.34714673913044,blues
0.37784892,0.13184513,1612.6456368857398,0.05819685626933488,-2.0678012e-06,-0.00010601784,143.5546875,blues
0.33642253,0.11219959,2013.0124617688698,0.07532370818832174,-0.0037498123,-0.0030208817,151.99908088235293,blues
0.41244242,0.1682386,2171.3957422720487,0.1328151434406419,-1.911163e-06,-4.039499e-05,103.359375,blues
0.33900785,0.09884554,1443.7501126322204,0.0671879531612529,-2.4912647e-06,-3.8759175e-05,151.99908088235293,blues
0.38802338,0.10254586,1913.013075046242,0.05845780162412993,-0.0031622434,-0.0034580296,123.046875,blues
0.42225853,0.09936382,991.4865889707816,0.03605237637761021,4.57966e-06,-0.00012619568,63.02400914634146,blues
0.31530708,0.15012378,1311.9502871452885,0.05939169143948182,-9.752099e-06,-0.000114222756,143.5546875,blues
0.38016844,0.24811445,2116.897366717261,0.127271093145785,-3.556567e-07,-4.5368775e-05,103.359375,blues
0.3699634,0.18699834,1388.6328938873344,0.05714703270011601,4.0739355e-06,-0.000101847196,135.99917763157896,blues
0.37769634,0.110940404,2301.5769168965485,0.09782391966357308,-0.0031246885,-0.003695581,89.10290948275862,blues
